feature,mean_abs_shap
contract_enc,0.82314557
internet_service_enc,0.3737524
sentiment_score,0.23438074
online_security_enc,0.20008574
revenue_risk,0.18382883
tenure,0.17385878
high_risk_complaint,0.17060499
total_charges,0.16870512
complaint_severity,0.1607691
payment_method_enc,0.14539705
monthly_charges,0.11042046
service_count,0.056119904
sentiment_tier_enc,0.031421646
gender_enc,0.02809442
tech_support_enc,0.027936561
partner_enc,0.023472723
dependents_enc,0.021440746
senior_citizen,0.017815385
phone_service_enc,0.012586226
paperless_billing_enc,0.012374959
